,titleId,title,averageRating,numVotes
317,tt0000771,The Tavern Keeper's Daughter,5.9,12
318,tt0000775,Trop crédules,7.2,8
319,tt0000776,Gli ultimi giorni di Pompeii,5.8,72
320,tt0000778,The Valet's Wife,6.5,6
321,tt0000781,The Viking's Daughter: The Story of the Ancient Norsemen,6.6,10
322,tt0000782,A Visit to the Seaside,7.3,15
323,tt0000790,The Airship Destroyer,6.2,292
324,tt0000793,Andreas Hofer,5.0,7
325,tt0000797,At the Altar,5.3,95
326,tt0000801,A Baby's Shoe,5.4,16
327,tt0000809,Bill Sharkey's Last Game,6.2,22
328,tt0000817,Et budskab til Napoleon paa Elba,3.9,10
329,tt0000821,The Cardinal's Conspiracy,4.7,68
330,tt0000825,The Children's Friend,4.8,12
331,tt0000827,"Comata, the Sioux",5.3,34
332,tt0000828,Confidence,5.3,57
333,tt0000831,The Cord of Life,5.2,83
334,tt0000832,A Corner in Wheat,6.6,2172
335,tt0000833,The Country Doctor,6.4,554
336,tt0000835,The Cricket on the Hearth,5.1,92
337,tt0000840,The Curtain Pole,5.5,259
338,tt0000841,The Day After,5.2,30
339,tt0000843,The Death Disc: A Story of the Cromwellian Period,5.7,10
340,tt0000844,Smert Ioanna Groznogo,5.5,10
341,tt0000847,Don Juan heiratet,5.9,8
342,tt0000848,La toile d'araignée merveilleuse,5.6,13
343,tt0000852,A Drunkard's Reformation,5.8,172
344,tt0000854,Edgar Allan Poe,6.0,412
345,tt0000857,Eradicating Aunty,4.9,9
346,tt0000870,A Fool's Revenge,5.1,14
347,tt0000873,Bakchisarayskiy fontan,5.8,6
348,tt0000875,The Friend of the Family,4.9,9
349,tt0000877,Getting Even,4.8,55
350,tt0000878,The Gibson Goddess,4.9,123
351,tt0000882,The Golden Louis,5.8,151
352,tt0000884,Grevinde X,4.4,7
353,tt0000886,Hamlet,5.0,23
354,tt0000887,Hansel and Gretel,4.6,26
355,tt0000891,Heksen og cyklisten,5.3,26
356,tt0000892,Her First Biscuits,5.6,42
357,tt0000895,The Hessian Renegades,5.6,153
358,tt0000905,I Did It,5.5,6
359,tt0000908,In Old Kentucky,5.9,13
360,tt0000912,The Indian Runner's Romance,4.4,37
361,tt0000916,Je voudrais un enfant,6.1,48
362,tt0000922,The Joneses Have Amateur Theatricals,5.6,79
363,tt0000924,Les joyeux microbes,6.1,129
364,tt0000929,Klebolin klebt alles,5.4,34
365,tt0000932,En kvinde af folket,3.9,7
366,tt0000934,Leather Stocking,4.8,8
367,tt0000935,The Light That Came,6.2,66
368,tt0000938,The Little Darling,4.5,147
369,tt0000941,Locura de amor,4.6,14
370,tt0000942,The Lonely Villa,6.1,828
371,tt0000945,Lucky Jim,4.6,51
372,tt0000946,The Lure of the Gown,4.5,54
373,tt0000950,Macbeth,4.8,9
374,tt0000957,Mariage forcé,6.3,39
375,tt0000960,The Mended Lute,4.6,236
376,tt0000966,A Midsummer Night's Dream,5.7,295
377,tt0000969,Les Misérables,6.1,11
378,tt0000970,Molière,5.9,60
379,tt0000971,Le Moulin maudit,6.3,127
380,tt0000975,Mr. Jones' Burglar,5.7,7
381,tt0000976,"Mrs. Jones' Lover; or, 'I Want My Hat'",4.7,9
382,tt0000979,"Napoleon, the Man of Destiny",5.2,18
383,tt0000986,Nursing a Viper,5.1,88
384,tt0000987,Naar Djævle er paa Spil,7.8,6
385,tt0000988,Den nærsynede guvernante,4.3,10
386,tt0000990,Oliver Twist,6.0,47
387,tt0000998,Otello,5.6,12
388,tt0000999,Paul Wangs skæbne,5.4,5
389,tt0001000,The Peachbasket Hat,5.1,24
390,tt0001001,"Pippa Passes; or, The Song of Conscience",5.5,87
391,tt0001002,The Politician's Love Story,4.9,74
392,tt0001008,The Prince and the Pauper,5.2,9
393,tt0001009,"Princess Nicotine; or, The Smoke Fairy",6.4,853
394,tt0001011,The Prussian Spy,4.7,6
395,tt0001013,The Redman's View,5.9,317
396,tt0001014,The Renunciation,5.1,87
397,tt0001016,Resurrection,5.6,89
398,tt0001032,The Sealed Room,6.0,751
399,tt0001044,The Son's Return,5.6,81
400,tt0001045,Le songe d'une nuit d'été,5.4,8
401,tt0001049,Gøngehøvdingen,3.2,8
402,tt0001062,Those Awful Hats,6.2,1078
403,tt0001065,Tis an Ill Wind That Blows No Good,4.8,6
404,tt0001066,De to guldgravere,4.3,7
405,tt0001072,A Trap for Santa Claus,5.6,283
406,tt0001083,The Violin Maker of Cremona,5.0,103
407,tt0001084,The Voice of the Violin,5.1,139
408,tt0001091,What Drink Did,5.5,159
409,tt0001101,Abraham Lincoln's Clemency,5.2,13
410,tt0001105,Afgrunden,6.4,790
411,tt0001106,Alice's Adventures in Wonderland,6.2,85
412,tt0001112,Amleto,3.7,20
413,tt0001116,Ansigttyven II,4.9,9
414,tt0001117,Cléopâtre,5.5,8
415,tt0001118,An Arcadian Maid,5.5,134
416,tt0001120,As It Is in Life,5.7,161
417,tt0001122,L'auberge rouge,5.3,7
418,tt0001129,The Banker's Daughters,5.0,15
419,tt0001145,Carceleras,5.0,6
420,tt0001150,A Child of the Ghetto,5.4,67
421,tt0001175,La dame aux camélias,5.8,22
422,tt0001185,Dorian Grays Portræt,7.0,14
423,tt0001186,Dorothy and the Scarecrow in Oz,5.5,47
424,tt0001207,Faithful,5.8,89
425,tt0001211,Faust,5.5,30
